A,B,C,D,Left Skew,Multimodal,IQ20,IQ100
48.91692627,67.22378463,55.91722454,45.56147084,23.1,37.63231845,120.4599506,93.04136766
47.69272613,68.17575119,30.17428817,47.82578299,18.2,49.2440007,107.4188638,93.80615767
48.6295795,61.75345147,43.64158289,59.6993701,14.6,37.78020312,95.00631199,135.3396811
58.5440342,69.78350683,53.73874454,45.70463771,21.2,56.82720805,96.52219234,100.7726315
44.82133762,70.73015313,67.82965865,44.25441911,24.5,54.51373105,108.8785628,91.60005295
47.69350376,63.00234503,58.79638621,58.9192731,24.9,47.87607008,108.4888005,105.9699206
43.95443412,54.45145111,63.02552416,44.08632902,27.4,48.75580259,109.3441483,93.86610357
52.84905452,67.45024762,45.8571806,71.2,21.7,42.0314317,133.448312,104.0067293
47.93471606,74.69042259,31.75870811,47.96776796,24.2,58.907958,84.48859793,110.1231941
63.53148348,75.70479869,23.78060675,48.36859682,20.6,58.40553368,83.67276316,128.9242546
49.80409903,62.66715596,56.91129067,49.70514156,13.3,44.53272975,80.0640046,105.9265378
52.18302422,72.93363403,71.12276718,53.59588674,19.1,50.77699653,104.1376035,130.3640239
57.12192571,67.44786668,72.07142186,49.07043934,13.5,52.09775271,107.8453465,78.98145072
58.55795681,66.14472376,24.9178412,51.58984166,23.6,54.35052256,107.0792006,114.8257543
49.50904217,62.18142606,63.57365015,44.1635431,25.2,37.04629684,83.57814631,136.0818454
50.25086538,59.39578026,90.0952571,47.12019847,12,40.33327252,100.2759239,86.80008012
41.22497151,64.45195625,51.63517141,45.74516025,15.7,55.06650872,94.07930512,105.3521644
49.71333178,68.80033851,46.28566023,56.15540764,6.4,41.29593691,130.3990019,81.83603837
57.19246351,61.79506267,63.97931648,50.88596665,10.7,54.74535096,109.1760628,97.66727803
48.52334249,77.08041999,65.32865192,50.94882385,17.2,51.97636336,78.28492008,96.14406809
50.62539543,70.96476655,43.58881028,53.06276937,15.1,46.91490226,,110.3656673
41.18047735,64.73907762,62.6236402,58.04579053,15.7,53.46559398,,109.9317263
52.88313106,74.31263309,34.90633038,49.00832776,25.4,52.08045547,,106.401438
58.7328011,66.20522802,51.67459346,51.14396536,22.4,49.60450594,,100.7646007
46.90133854,66.92570395,54.55478721,41.79901165,26.9,42.22716596,,98.37581616
50.57113108,54.15037902,44.2252949,56.99334616,22.4,44.99025963,,92.54325383
50.88966185,67.23760332,78.78126687,48.56992835,28.9,41.80558044,,91.42152735
54.75772623,70.82354985,35.05538753,49.8209834,24.1,48.94743549,,96.80065124
49.55857265,66.93263477,73.10022262,57.9600412,20.8,48.82103466,,108.9185361
50.42985074,68.9503488,54.88758259,50.68004916,19.8,46.40477506,,83.82286564
47.45481008,59.15625319,47.15174721,61.03088128,29.3,46.93987121,,117.1476951
